trees,depth,min_samples_split,min_samples_leaf,variables,samples,mae_gen_0,mae_gen_1,mae_gen_2,mae_gen_3,mae_gen_4,mae_gen_5,mae_gen_6,mae_gen_7,mae_gen_8,mae_gen_9,final_mae,time
30,50,8,2,0.4,0.4,286.006,99.545,50.331,80.195,61.586,36.364,41.335,39.73,39.171,47.102,78.1365,0.0255733895301819
30,None,8,2,0.4,0.4,289.756,98.32,51.696,78.457,61.933,34.807,41.702,40.046,39.113,46.184,78.2014,0.0258839273452759
50,10,8,2,0.4,0.4,284.521,99.887,50.285,79.984,61.553,35.352,41.688,40.871,39.731,44.967,77.8839,0.0410130953788757
50,30,8,2,0.4,0.4,287.865,99.043,50.47,82.965,63.586,34.629,42.331,39.621,39.783,45.654,78.5947,0.0407912635803223
50,50,8,2,0.4,0.4,291.128,98.195,49.527,79.53,62.717,35.174,41.708,41.025,38.92,45.73,78.3654,0.0409583711624146
50,None,8,2,0.4,0.4,289.507,98.362,49.999,80.157,62.677,33.976,41.85,40.153,39.159,45.035,78.0875,0.0411100149154663
100,10,8,2,0.4,0.4,287.759,98.322,49.829,81.564,62.086,34.455,40.589,39.406,39.468,45.025,77.8503,0.0787567758560181
100,30,8,2,0.4,0.4,290.663,99.25,50.005,80.723,61.961,34.16,41.29,40.079,40.268,45.213,78.3612,0.0788482689857483
100,50,8,2,0.4,0.4,286.888,99.016,50.12,79.979,61.359,33.829,40.679,39.877,39.043,45.233,77.6023,0.0788808608055115
100,None,8,2,0.4,0.4,288.435,97.436,50.321,79.961,61.152,33.916,40.495,39.809,39.729,45.409,77.6663,0.079331386089325
10,10,2,4,0.4,0.4,285.198,106.014,56.933,86.914,68.927,40.31,47.813,49.243,43.984,51.337,83.6673,0.0102972888946533
10,30,2,4,0.4,0.4,292.795,106.114,55.068,82.432,72.812,40.103,47.337,45.684,47.515,50.888,84.0748,0.0103039741516113
10,50,2,4,0.4,0.4,291.813,107.609,54.268,83.578,67.374,40.692,47.741,48.259,44.879,52.883,83.9096,0.0106162571907043
10,None,2,4,0.4,0.4,292.676,106.198,55.596,87.893,65.885,39.295,46.543,48.011,44.836,53.924,84.0857,0.0102821445465088
30,10,2,4,0.4,0.4,290.068,106.785,52.963,84.908,69.221,37.591,43.796,45.342,44.754,48.698,82.4126,0.0256401872634888
30,30,2,4,0.4,0.4,287.974,105.744,53.69,86.159,66.516,37.715,43.481,43.805,42.859,48.097,81.604,0.0254025936126709
30,50,2,4,0.4,0.4,290.623,106.66,54.448,84.459,69.02,37.397,44.942,45.226,42.881,48.665,82.4321,0.0256075167655945
30,None,2,4,0.4,0.4,287.629,105.061,53.922,84.192,66.541,36.068,46.004,45.085,44.787,47.898,81.7187,0.0257209277153015
50,10,2,4,0.4,0.4,292.68,106.454,52.967,83.373,66.532,37.212,44.534,43.979,43.721,47.891,81.9343,0.0406081533432007
50,30,2,4,0.4,0.4,290.168,105.114,52.851,84.144,65.495,37.349,43.785,43.227,42.747,48.367,81.3247,0.0407951259613037
50,50,2,4,0.4,0.4,288.364,105.142,53.595,84.929,67.803,37.657,43.926,43.735,42.174,47.271,81.4596,0.0407762694358826
50,None,2,4,0.4,0.4,288.729,105.864,53.235,84.351,67.149,36.884,44.291,43.638,42.429,47.818,81.4388,0.0407747840881348
100,10,2,4,0.4,0.4,289.326,105.714,53.14,84.885,65.418,36.613,43.676,43.338,42.52,46.697,81.1327,0.0785658740997314
100,30,2,4,0.4,0.4,289.977,106.144,52.918,84.643,68.896,36.046,43.231,43.226,43.167,46.729,81.4977,0.0786179256439209
100,50,2,4,0.4,0.4,289.172,105.661,53.151,85.456,66.222,36.932,44.231,43.244,43.191,46.671,81.3931,0.0783015418052673
